,word,gls,stem,affixes,nonfinite.affixes
0,bua,be.pst.3m.sg,be,"pst, 3m, sg",
1,bot,be.pst.3pl,be,"pst, 3pl",
2,d-it,go-pst.3pl,go,"pst, 3pl",
3,ʥa-i,say-cv,say,cv,cv
4,bui,be.pst.3f.sg,be,"pst, 3f, sg",
5,d-it,go-pst.3pl,go,"pst, 3pl",
6,d-it,go-pst.3pl,go,"pst, 3pl",
7,ʥa-won,say-pst.3pl,say,"pst, 3pl",
8,ʥa-wom,say-pst.1sg,say,"pst, 1sg",
9,ɬ-a,give-imp.sg,give,"imp, sg",
10,ʈapala-ika,collect-fut.1pl,collect,"fut, 1pl",
11,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
12,ʥa-wus-e,say-pst.3sg,say,"pst, 3sg",
13,kʰaː-i,pull_out-cv,pull_out,cv,cv
14,kʰaː-i,pull_out-cv,pull_out,cv,cv
15,kʰaː-i,pull_out-cv,pull_out,cv,cv
16,ɬ-ika,give-fut.1pl,give,"fut, 1pl",
17,ɬ-itowa,give-prf.1pl(?),give,"prf, 1pl(?)",
18,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
19,aːjat,come.pst.3pl,come,"pst, 3pl",
20,ʥ-i,come-cv,come,cv,cv
21,ʥa-won,say-pst.3pl,say,"pst, 3pl",
22,tʰanaa,be.prs.3m.sg,be,"prs, 3m, sg",
23,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
24,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
25,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
26,tʰinim,be.prs.1f.sg,be,"prs, 1f, sg",
27,ʥa-us,say-pst.3sg,say,"pst, 3sg",
28,bui,be.pst.3f.sg,be,"pst, 3f, sg",
29,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
30,lama-asa,hang-fut.2sg,hang,"fut, 2sg",
31,bua,be.pst.3m.sg,be,"pst, 3m, sg",
32,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
33,lama-asa,hang-fut.2sg,hang,"fut, 2sg",
34,ʥ-ika,come-fut.1pl,come,"fut, 1pl",
35,aːja,come.pst.3sg,come,"pst, 3sg",
36,gaik,go.pst.1pl,go,"pst, 1pl",
37,gaik,go.pst.1pl,go,"pst, 1pl",
38,bui,be.pst.3f.sg,be,"pst, 3f, sg",
39,ʥ-ika,come-fut.1pl,come,"fut, 1pl",
40,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
41,ʥa-i,say-cv,say,cv,cv
42,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
43,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
44,ʥa-i,say-cv,say,cv,cv
45,go-i,take-cv,take,cv,cv
46,gait,go.pst.3pl,go,"pst, 3pl",
47,nes-i,come_out-cv,come_out,cv,cv
48,gait,go.pst.3pl,go,"pst, 3pl",
49,gait,go.pst.3pl,go,"pst, 3pl",
50,gait,go.pst.3pl,go,"pst, 3pl",
51,gait,go.pst.3pl,go,"pst, 3pl",
52,fed-ot,arrive-pst.3pl,arrive,"pst, 3pl",
53,fed-i,arrive-cv,arrive,cv,cv
54,di,go.cv,go,cv,cv
55,niʂ-ot-ãː,sit-pst.3pl-dat,sit,"pst, 3pl, dat",
56,ke-us,do-pst.3sg,do,"pst, 3sg",
57,ke-us-ãː,do-pst.3sg-dat,do,"pst, 3sg, dat",
58,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
59,ʥa-us,say-pst.3sg,say,"pst, 3sg",
60,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
61,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
62,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
63,naŋga-i,throw-cv,throw,cv,cv
64,lubɽa-u,roll-imp.pl,roll,"imp, pl",
65,ʥa-us,say-pst.3sg,say,"pst, 3sg",
66,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
67,ʥa-us,say-pst.3sg,say,"pst, 3sg",
68,lik-iu,pull-opt,pull,opt,
69,ʥa-ue,say,say,,
70,b-iba,be-fut.3sg,be,"fut, 3sg",
71,d-imaːiu,go-prs.2pl,go,"prs, 2pl",
72,naŋg-i,get_off-cv,get_off,cv,cv
73,leɽa-us,show-pst.3sg,show,"pst, 3sg",
74,naŋga-i,throw-cv,throw,cv,cv
75,lubɽa-won-ãː,roll-pst.3pl-dat,roll,"pst, 3pl, dat",
76,di,go.cv,go,cv,cv
77,bua,be.pst.3m.sg,be,"pst, 3m, sg",
78,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
79,ʈalaʦ-ua-ãː,fall-pst.3m.sg-dat,fall,"pst, 3m, sg, dat",
80,gait-ãː,go.pst.3pl-dat,go,"pst, 3pl, dat",
81,gait-āː,go.pst.3pl-dat,go,"pst, 3pl, dat",
82,lik-on,pull-pst.3pl,pull,"pst, 3pl",
83,lik-on-ãː,pull-pst.3pl-dat,pull,"pst, 3pl, dat",
84,naŋga-i,throw-cv,throw,cv,cv
85,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
86,nes-ua,come_out-pst.3m.sg,come_out,"pst, 3m, sg",
87,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
88,bui,be.pst.3f.sg,be,"pst, 3f, sg",
89,naŋga-i,throw-cv,throw,cv,cv
90,naŋg-i,get_off-cv,get_off,cv,cv
91,gait,go.pst.3pl,go,"pst, 3pl",
92,gait-ãː,go.pst.3pl-dat,go,"pst, 3pl, dat",
93,bua,be.pst.3m.sg,be,"pst, 3m, sg",
94,ɬenʨ-i,get_into-cv,get_into,cv,cv
95,niʂ-ot,sit-pst.3pl,sit,"pst, 3pl",
96,bui,be.pst.3f.sg,be,"pst, 3f, sg",
97,ɬ-itus,give-prf.3sg,give,"prf, 3sg",
98,ɬi,give.cv,give,cv,cv
99,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
100,bot,be.pst.3pl,be,"pst, 3pl",
101,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
102,bot,be.pst.3pl,be,"pst, 3pl",
103,di,go.cv,go,cv,cv
104,ga-i,go-cv,go,cv,cv
105,ga-i-ãː,go-cv-dat,go,"cv, dat",cv
106,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
107,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
108,aːn-iu,bring-imp.pl,bring,"imp, pl",
109,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
110,ke-jema,do-fut.1sg,do,"fut, 1sg",
111,ɬ-ema,give-fut.1sg,give,"fut, 1sg",
112,ʥa-us,say-pst.3sg,say,"pst, 3sg",
113,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
114,bot,be.pst.3pl,be,"pst, 3pl",
115,ke,do.cv,do,cv,cv
116,aːn-ika-aː,bring-fut.1pl,bring,"fut, 1pl",
117,aːn-imek,bring-prs.1pl,bring,"prs, 1pl",
118,ʥa-won-ãː,say-pst.3pl-dat,say,"pst, 3pl, dat",
119,ʈapala-i,collect-cv,collect,cv,cv
120,aːjat,come.pst.3pl,come,"pst, 3pl",
121,ʥa-us,say-pst.3sg,say,"pst, 3sg",
122,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
123,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
124,tʰinim-aː,be.prs.1f.sg,be,"prs, 1f, sg",
125,bot,be.pst.3pl,be,"pst, 3pl",
126,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
127,baːn-i-i,cry-cv,cry,cv,cv
128,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
129,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
130,bot,be.pst.3pl,be,"pst, 3pl",
131,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
132,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
133,lama-u,hang-imp.pl,hang,"imp, pl",
134,ʥa-idaːum,say-dist.pst.1sg,say,"dist, pst, 1sg",
135,bui,be.pst.3f.sg,be,"pst, 3f, sg",
136,bua,be.pst.3m.sg,be,"pst, 3m, sg",
137,lama-u,hang-imp.pl,hang,"imp, pl",
138,ʥa-idaːon,say-dist.pst.3pl,say,"dist, pst, 3pl",
139,lama-um,hang-pst.1sg,hang,"pst, 1sg",
140,lama-um-ãː,hang-pst.1sg-dat,hang,"pst, 1sg, dat",
141,ʥ-i,come-cv,come,cv,cv
142,baka-i,throw_away-cv,throw_away,cv,cv
143,lama-us,hang-pst.3sg,hang,"pst, 3sg",
144,lama-us-ãː,hang-pst.3sg-dat,hang,"pst, 3sg, dat",
145,ɖe-ji,run_away-cv,run_away,cv,cv
146,gait,go.pst.3pl,go,"pst, 3pl",
147,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
148,ʥa-u,say-pst.2sg,say,"pst, 2sg",
149,tʰanet,be.prs.3pl,be,"prs, 3pl",
150,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
151,ʥa-us,say-pst.3sg,say,"pst, 3sg",
152,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
153,paʦa-a,cook-imp.sg,cook,"imp, sg",
154,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
155,go-i,take-cv,take,cv,cv
156,ʥema,come.fut.1sg,come,"fut, 1sg",
157,d-ima,go-fut.1sg,go,"fut, 1sg",
158,ʥa-i,say-cv,say,cv,cv
159,paʦa-i,cook-cv,cook,cv,cv
160,ɬ-itus,give-prf.3sg,give,"prf, 3sg",
161,ɬi,give.cv,give,cv,cv
162,nes-ui,come_out-pst.3f.sg,come_out,"pst, 3f, sg",
163,nes-i,come_out-cv,come_out,cv,cv
164,bui,be.pst.3f.sg,be,"pst, 3f, sg",
165,niɕ-ibot,sit-dist.pst.3pl,sit,"dist, pst, 3pl",
166,fed-ui,arrive-pst.3f.sg,arrive,"pst, 3f, sg",
167,fed-i,arrive-cv,arrive,cv,cv
168,niʂ-ui-ãː,sit-pst.3f.sg-dat,sit,"pst, 3f, sg, dat",
169,aːja,come.pst.3sg,come,"pst, 3sg",
170,ʥ-i,come-cv,come,cv,cv
171,ke-us-ãː,do-pst.3sg-dat,do,"pst, 3sg, dat",
172,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
173,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
174,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
175,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
176,tʰanet,be.prs.3pl,be,"prs, 3pl",
177,ʥa-us,say-pst.3sg,say,"pst, 3sg",
178,naŋga-i,throw-cv,throw,cv,cv
179,lubɽa-a,roll-imp.sg,roll,"imp, sg",
180,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
181,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
182,lik-a,pull-imp.sg,pull,"imp, sg",
183,ʥa-us,say-pst.3sg,say,"pst, 3sg",
184,naŋga-i,throw-cv,throw,cv,cv
185,lubɽa-us-ãː,roll-pst.3sg-dat,roll,"pst, 3sg, dat",
186,di,go.cv,go,cv,cv
187,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
188,ʈakaʦ-ui-jãː,fall-pst.3f.sg-dat,fall,"pst, 3f, sg, dat",
189,naŋga-i,throw-cv,throw,cv,cv
190,di,go.cv,go,cv,cv
191,di,go.cv,go,cv,cv
192,lik-us,pull-pst.3sg,pull,"pst, 3sg",
193,lik-us-ãː,write-pst.3sg-dat,write,"pst, 3sg, dat",
194,nes-ua,come_out-pst.3m.sg,come_out,"pst, 3m, sg",
195,nes-ua,come_out-pst.3m.sg,come_out,"pst, 3m, sg",
196,naŋga-i,throw-cv,throw,cv,cv
197,naŋg-ui,get_off-pst.3f.sg,get_off,"pst, 3f, sg",
198,naŋg-ui-ãː,get_off-pst.3f.sg-dat,get_off,"pst, 3f, sg, dat",
199,bui,be.pst.3f.sg,be,"pst, 3f, sg",
200,naŋg-i,get_off-cv,get_off,cv,cv
201,ga-i-jãː,go-cv-dat,go,"cv, dat",cv
202,bua,be.pst.3m.sg,be,"pst, 3m, sg",
203,bui,be.pst.3f.sg,be,"pst, 3f, sg",
204,niɕi,sit.cv,sit,cv,cv
205,hawat,starving,starving,,
206,bib-ui,happen-pst.3f.sg,happen,"pst, 3f, sg",
207,ʑuː-i,eat-cv,eat,cv,cv
208,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
209,ke-us,do-pst.3sg,do,"pst, 3sg",
210,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
211,ɬ-a,give-imp.sg,give,"imp, sg",
212,zaːn-ik,think-pst.1pl,think,"pst, 1pl",
213,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
214,tʰi-ta,be-fut.3pl,be,"fut, 3pl",
215,tʰi-ta,be-fut.3pl,be,"fut, 3pl",
216,ɬ-a,give-imp.sg,give,"imp, sg",
217,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
218,dal-ui,split-pst.3f.sg,split,"pst, 3f, sg",
219,di,go.cv,go,cv,cv
220,ɬenʈʂ-ui,get_into-pst.3f.sg,get_into,"pst, 3f, sg",
221,ɬenʨ-i,get_into-cv,get_into,cv,cv
222,niʂ-ui,sit-pst.3f.sg,sit,"pst, 3f, sg",
223,aːjat,come.pst.3pl,come,"pst, 3pl",
224,ʥ-i,come-cv,come,cv,cv
225,fed-ot,arrive-pst.3pl,arrive,"pst, 3pl",
226,fed-i,arrive-cv,arrive,cv,cv
227,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
228,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
229,ʑu-itu,eat-prf.2sg,eat,"prf, 2sg",
230,ʑa-us,eat-pst.3sg,eat,"pst, 3sg",
231,ʑu-itu,eat-prf.2sg,eat,"prf, 2sg",
232,ʑa-us,eat-pst.3sg,eat,"pst, 3sg",
233,led-i,put_in.the.stove-cv,put_in,"the, stove, cv",cv
234,d-itanek,go-prf.1pl,go,"prf, 1pl",
235,ʑa-us,eat-pst.3sg,eat,"pst, 3sg",
236,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
237,ʑu-itu-a,eat-prf.2sg,eat,"prf, 2sg",
238,baːl-a,look-imp.sg,look,"imp, sg",
239,tʰ-iba,be-fut.3sg,be,"fut, 3sg",
240,kʰaː-won,pull_out-pst.3pl,pull_out,"pst, 3pl",
241,ʑu-i,eat-cv,eat,cv,cv
242,gaː-i,carry-cv,carry,cv,cv
243,taŋga-won,throw-pst.3pl,throw,"pst, 3pl",
244,taŋga-i,throw-cv,throw,cv,cv
245,ke,do.cv,do,cv,cv
246,tʰo-ji,put-cv,put,cv,cv
247,ʥ-i,come-cv,come,cv,cv
248,baːg-ot,spend_the_night-pst.3pl,spend_the_night,"pst, 3pl",
249,baːg-i,spend_the_night-cv,spend_the_night,cv,cv
250,bui,be.pst.3f.sg,be,"pst, 3f, sg",
251,bui,be.pst.3f.sg,be,"pst, 3f, sg",
252,led-i,put_in.the.stove-cv,put_in,"the, stove, cv",cv
253,nes-i,come_out-cv,come_out,cv,cv
254,gait,go.pst.3pl,go,"pst, 3pl",
255,nes-i,come_out-cv,come_out,cv,cv
256,gait,go.pst.3pl,go,"pst, 3pl",
257,d-i-i,go-cv,go,cv,cv
258,paʦ-ik-an-i,be.cooked-vn-gen-f,be,"cooked, vn, gen, f",vn
259,nes-ui,come_out-pst.3f.sg,come_out,"pst, 3f, sg",
260,nesi,come_out.cv,come_out,cv,cv
261,ʑu-nus,eat-pst.3sg,eat,"pst, 3sg",
262,ʑu-i,eat-cv,eat,cv,cv
263,ke,do.cv,do,cv,cv
264,naŋga-i,throw-cv,throw,cv,cv
265,tala-i,put-cv,put,cv,cv
266,wal-ui,hide-pst.3f.sg,hide,"pst, 3f, sg",
267,ʥ-ik-an-i,come-vn-gen-f,come,"vn, gen, f",vn
268,wal-i-i,hide-cv,hide,cv,cv
269,ʥ-ik-an-a,come-vn-gen-m,come,"vn, gen, m",vn
270,tʰɪ,be,be,,
271,wal-i,hide-cv,hide,cv,cv
272,ke-ji,do-cv,do,cv,cv
273,fed-ot,arrive-pst.3pl,arrive,"pst, 3pl",
274,fed-i,arrive-cv,arrive,cv,cv
275,baːl-on-ãː,look-pst.3pl-dat,look,"pst, 3pl, dat",
276,ʑu-isan,eat-ptcp.pf,eat,"ptcp, pf",
277,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
278,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
279,b-itana,be-prf.3m.sg,be,"prf, 3m, sg",
280,niɕi,sit.cv,sit,cv,cv
281,ke-mek,do-prs.1pl,do,"prs, 1pl",
282,niɕ-maːntika,sit-debit.1pl,sit,"debit, 1pl",
283,d-imaːntika,go-debit.1pl,go,"debit, 1pl",
284,niɕ-imaːntika,sit-debit.1pl,sit,"debit, 1pl",
285,ʥa-won,say-pst.3pl,say,"pst, 3pl",
286,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
287,ʥa-i,say-cv,say,cv,cv
288,di,go.cv,go,cv,cv
289,ʦʰin-i,cut-cv,cut,cv,cv
290,ke,do.cv,do,cv,cv
291,por-i,fill-cv,fill,cv,cv
292,led-i,put_in.the.stove-cv,put_in,"the, stove, cv",cv
293,niaʂ-ua,come_out-pst.3m.sg,come_out,"pst, 3m, sg",
294,niʂ-ua,sit-pst.3m.sg,sit,"pst, 3m, sg",
295,di,go.cv,go,cv,cv
296,fed-ui-ãː,arrive-pst.3f.sg-dat,arrive,"pst, 3f, sg, dat",
297,nes-ui,come_out-pst.3f.sg,come_out,"pst, 3f, sg",
298,nesi,come_out.cv,come_out,cv,cv
299,baːl-us-ãː,look-pst.3sg-dat,look,"pst, 3sg, dat",
300,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
301,bua,be.pst.3m.sg,be,"pst, 3m, sg",
302,nes-us,come_out-pst.3sg,come_out,"pst, 3sg",
303,ʥa-i,say-cv,say,cv,cv
304,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
305,bua-ãː,be.pst.3m.sg-dat,be,"pst, 3m, sg, dat",
306,tʰanes-aː,be.prs.2sg-q,be,"prs, 2sg, q",
307,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
308,ʥa-us,say-pst.3sg,say,"pst, 3sg",
309,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
310,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
311,muɕ-ika,play-fut.1pl,play,"fut, 1pl",
312,ʥa-us,say-pst.3sg,say,"pst, 3sg",
313,ʥa-i,say-cv,say,cv,cv
314,gaː-i,carry-cv,carry,cv,cv
315,ker-ai,do,do,,
316,baːl-i,look-cv,look,cv,cv
317,ɬ-ijau,give,give,,
318,d-i,go-cv,go,cv,cv
319,punz-ijiu,get.damaged,get,damaged,
320,ʑu-i,eat-cv,eat,cv,cv
321,wal-ui,hide-pst.3f.sg,hide,"pst, 3f, sg",
322,wal-ui,hide-pst.3f.sg,hide,"pst, 3f, sg",
323,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
324,ker-us,do-pst.3sg,do,"pst, 3sg",
325,ke-us,do-pst.3sg,do,"pst, 3sg",
326,ke-ji,do-cv,do,cv,cv
327,bua,be.pst.3m.sg,be,"pst, 3m, sg",
328,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
329,niɕima,sit-fut.1sg,sit,"fut, 1sg",
330,ʥa-u-e,say-pst.2sg,say,"pst, 2sg",
331,d-ijau,go-opt,go,opt,
332,ʥa-us,say-pst.3sg,say,"pst, 3sg",
333,ke-jidaːum,do-dist.pst.1sg,do,"dist, pst, 1sg",
334,niɕ-isan,sit-ptcp.pf,sit,"ptcp, pf",
335,bua,be.pst.3m.sg,be,"pst, 3m, sg",
336,baːl-us-ãː,look-pst.3sg-dat,look,"pst, 3sg, dat",
337,di,go.cv,go,cv,cv
338,fed-ui-ãː,arrive-pst.3f.sg-dat,arrive,"pst, 3f, sg, dat",
339,paʦ-ik-an-i,be.cooked-vn-gen-f,be,"cooked, vn, gen, f",vn
340,nes-imaːn,come_out-prs.3sg,come_out,"prs, 3sg",
341,tʰanes-aː,be.prs.2sg,be,"prs, 2sg",
342,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
343,tʰanem,be.prs.1m.sg,be,"prs, 1m, sg",
344,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
345,ɬ-ika,give-fut.1pl,give,"fut, 1pl",
346,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
347,ʥa-us,say-pst.3sg,say,"pst, 3sg",
348,ɬ-itus-āː,give-prf.3sg-dat,give,"prf, 3sg, dat",
349,baːl-i,look-cv,look,cv,cv
350,ɬ-i,give-cv,give,cv,cv
351,tala-i,put-cv,put,cv,cv
352,daːm-us,catch-pst.3sg,catch,"pst, 3sg",
353,iʈik-i,jump-cv,jump,cv,cv
354,iʈik-i,jump-cv,jump,cv,cv
355,ɬ-itus,give-prf.3sg,give,"prf, 3sg",
356,ʑu-isan,eat-ptcp.pf,eat,"ptcp, pf",
357,bua,be.pst.3m.sg,be,"pst, 3m, sg",
358,ba-maːn,can-ptcp.ipf,can,"ptcp, ipf",
359,bui,be.pst.3f.sg,be,"pst, 3f, sg",
360,daːm-i,catch-cv,catch,cv,cv
361,genʈ-us,tie-pst.3sg,tie,"pst, 3sg",
362,gnʈ-us,tie-pst.3sg,tie,"pst, 3sg",
363,di,go.cv,go,cv,cv
364,bui-ãː,be.pst.3f.sg-dat,be,"pst, 3f, sg, dat",
365,fed-ot,arrive-pst.3pl,arrive,"pst, 3pl",
366,fed-i,arrive-cv,arrive,cv,cv
367,ʥa-ik-i,say-vn,say,vn,vn
368,bua,be.pst.3m.sg,be,"pst, 3m, sg",
369,gaː-i-mem,carry-prs.1sg,carry,"prs, 1sg",
370,ʥa-ik-i,say-vn,say,vn,vn
371,bua,be.pst.3m.sg,be,"pst, 3m, sg",
372,gaː-imem,take-prs.1sg,take,"prs, 1sg",
373,ʥa-ik-i,say-vn,say,vn,vn
374,bua-ãː,be.pst.3m.sg-dat,be,"pst, 3m, sg, dat",
375,ʥa-us,say-pst.3sg,say,"pst, 3sg",
376,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
377,daːm-itum,catch-prf.1sg,catch,"prf, 1sg",
378,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
379,kʰuda-ik,ask-vn,ask,vn,vn
380,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
381,naːŋga-i,throw-cv,throw,cv,cv
382,ʥ-imaːn,come-ptcp.ipf,come,"ptcp, ipf",
383,bot,be.pst.3pl,be,"pst, 3pl",
384,tʰi-ba,be-fut.3sg,be,"fut, 3sg",
385,tʰi-ba,be-fut.3sg,be,"fut, 3sg",
386,ʥ-itini,come-prf.3f.sg,come,"prf, 3f, sg",
387,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
388,kʰuda-ika,ask-fut.1pl,ask,"fut, 1pl",
389,ʥ-itini,come-prf.3f.sg,come,"prf, 3f, sg",
390,naŋga-i,throw-cv,throw,cv,cv
391,aːj-i,come-cv,come,cv,cv
392,ʥa-i,say-cv,say,cv,cv
393,kʰuda-ik-a,ask-vn-obl,ask,"vn, obl",vn
394,kʰuda-ua,ask-pst.3m.sg,ask,"pst, 3m, sg",
395,ʥa-iba,say-fut.3sg,say,"fut, 3sg",
396,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
397,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
398,ʥa-us,say-pst.3sg,say,"pst, 3sg",
399,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
400,ʥa-us,say-pst.3sg,say,"pst, 3sg",
401,di,go.cv,go,cv,cv
402,niʂa-i,sit_caus-cv,sit_caus,cv,cv
403,kʰuda-met,ask-prs.3pl,ask,"prs, 3pl",
404,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
405,ʥa-us,say-pst.3sg,say,"pst, 3sg",
406,ke,do.cv,do,cv,cv
407,aːjis,come.pst.2sg,come,"pst, 2sg",
408,tʰinis,be.prs.2f.sg,be,"prs, 2f, sg",
409,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
410,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
411,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
412,tʰinim,be.prs.1f.sg,be,"prs, 1f, sg",
413,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
414,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
415,ke-ji,do-cv,do,cv,cv
416,d-ibum,go-dist.pst.1f.sg,go,"dist, pst, 1f, sg",
417,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
418,d-ibum-ãː,go-dist.pst.1f.sg-dat,go,"dist, pst, 1f, sg, dat",
419,ʥa-um,say-pst.1sg,say,"pst, 1sg",
420,aːn-iu,bring-imp.pl,bring,"imp, pl",
421,aːn-iu,bring-imp.pl,bring,"imp, pl",
422,bot,be.pst.3pl,be,"pst, 3pl",
423,gait,go.pst.3pl,go,"pst, 3pl",
424,aːn-imek,bring-prs.1pl,bring,"prs, 1pl",
425,ke-i,do-cv,do,cv,cv
426,ba-mek,can-prs.1pl,can,"prs, 1pl",
427,ʥa-won,say-pst.3pl,say,"pst, 3pl",
428,gaim,go.pst.1sg,go,"pst, 1sg",
429,gaim-ãː,go.pst.1sg-dat,go,"pst, 1sg, dat",
430,ke-us,do-pst.3sg,do,"pst, 3sg",
431,bui,be.pst.3f.sg,be,"pst, 3f, sg",
432,lama-a,hang-imp.sg,hang,"imp, sg",
433,bua,be.pst.3m.sg,be,"pst, 3m, sg",
434,lama-a,hang-imp.sg,hang,"imp, sg",
435,ʥa-idaːwon,say-dist.pst.3pl,say,"dist, pst, 3pl",
436,bib-ui,happen-pst.3f.sg,happen,"pst, 3f, sg",
437,lama-idaːus-ãː,hang-dist.pst.3sg-dat,hang,"dist, pst, 3sg, dat",
438,nesi,come_out.cv,come_out,cv,cv
439,lama-idaːwon,hang-dist.pst.3pl,hang,"dist, pst, 3pl",
440,ʥ-ibot,come-dist.pst.3pl,come,"dist, pst, 3pl",
441,ʥa-us-ãː,say-pst.3sg-dat,say,"pst, 3sg, dat",
442,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
443,genʈ-aitua,tie,tie,,
444,tʰini,be.prs.3f.sg,be,"prs, 3f, sg",
445,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
446,aːjim-ãː,come.pst.1sg-dat,come,"pst, 1sg, dat",
447,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
448,ker-us,do-pst.3sg,do,"pst, 3sg",
449,bua,be.pst.3m.sg,be,"pst, 3m, sg",
450,ke-us,do-pst.3sg,do,"pst, 3sg",
451,ke-us-ãː,do-pst.3sg-dat,do,"pst, 3sg, dat",
452,ʥa-um,say-pst.1sg,say,"pst, 1sg",
453,ʥa-mes,say-prs.2sg,say,"prs, 2sg",
454,ʥa-us-e,say-pst.3sg,say,"pst, 3sg",
455,tʰanet,be.prs.3pl,be,"prs, 3pl",
456,naːŋga-i,throw-cv,throw,cv,cv
457,lubuɽ-a,roll-imp.sg,roll,"imp, sg",
458,ʈakaʦ-ui,fall-pst.3f.sg,fall,"pst, 3f, sg",
459,d-isa,go-fut.2sg,go,"fut, 2sg",
