,word,gls,stem,affixes,nonfinite.affixes
18286,bot,be.pst.3pl,be,"pst, 3pl",
18287,ke-idaːon,do-dist.pst.3pl,do,"dist, pst, 3pl",
18288,ke-idaːon,do-dist.pst.3pl,do,"dist, pst, 3pl",
18289,ke-ik,do-vn,do,vn,vn
18290,ʈakaʦ-ibui,fall-dist.pst.3f.sg,fall,"dist, pst, 3f, sg",
18291,bui,be.pst.3f.sg,be,"pst, 3f, sg",
18292,kʰaː-idaːus-i,pull_out-dist.pst.3sg,pull_out,"dist, pst, 3sg",
18293,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18294,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18295,lis-i,fall-cv,fall,cv,cv
18296,ta-idaːum,see-dist.pst.1sg,see,"dist, pst, 1sg",
18297,d-ibot,go-dist.pst.3pl,go,"dist, pst, 3pl",
18298,nes-ibot,come_out-dist.pst.3pl,come_out,"dist, pst, 3pl",
18299,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
18300,b-itini,be-prf.3f.sg,be,"prf, 3f, sg",
18301,ʥa-ama,say-fut.1sg,say,"fut, 1sg",
18302,tʰ-ik,be-pst.1pl,be,"pst, 1pl",
18303,tʰo-idaːon,put-dist.pst.3pl,put,"dist, pst, 3pl",
18304,tʰo-idaːon,put-dist.pst.3pl,put,"dist, pst, 3pl",
18305,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18306,bok,be.pst.1pl,be,"pst, 1pl",
18307,tala-idaːus,put-dist.pst.3sg,put,"dist, pst, 3sg",
18308,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18309,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18310,daːm-a,hold-imp.sg,hold,"imp, sg",
18311,ʥa-u-uː,say-pst.2sg,say,"pst, 2sg",
18312,d-i-i,go-cv,go,cv,cv
18313,ke-ji,do-cv,do,cv,cv
18314,ʥ-i,come-cv,come,cv,cv
18315,ga-ik,go-pst.1pl,go,"pst, 1pl",
18316,ke-ika,do-fut.1pl,do,"fut, 1pl",
18317,aːn-ika,bring-fut.1pl,bring,"fut, 1pl",
18318,ke-ika,do-fut.1pl,do,"fut, 1pl",
18319,ʂa-a,send-imp.sg,send,"imp, sg",
18320,ke-ika,do-fut.1pl,do,"fut, 1pl",
18321,go-i,take-cv,take,cv,cv
18322,d-ika,go-fut.1pl,go,"fut, 1pl",
18323,ʥ-i,come-cv,come,cv,cv
18324,bua,be.pst.3m.sg,be,"pst, 3m, sg",
18325,ke-ma,do-fut.1sg,do,"fut, 1sg",
18326,ʥa-us,say-pst.3sg,say,"pst, 3sg",
18327,ke-sa,do-fut.2pl,do,"fut, 2pl",
18328,bok-ãː,be.pst.1pl-dat,be,"pst, 1pl, dat",
18329,b-imaːn-e,be-prs.3sg-rel,be,"prs, 3sg, rel",
18330,alanz-ui,shake-pst.3f.sg,shake,"pst, 3f, sg",
18331,lis-ua,fall-pst.3m.sg,fall,"pst, 3m, sg",
18332,tʰana,be.prs.3m.sg,be,"prs, 3m, sg",
18333,parz-ok,understand-pst.1pl,understand,"pst, 1pl",
18334,baːl-ua-ãː,look-pst.1pl-dat,look,"pst, 1pl, dat",
18335,tʰina,be.prs.3m.sg,be,"prs, 3m, sg",
18336,baːl-ua-ãː,look-pst.1pl-dat,look,"pst, 1pl, dat",
18337,ɬenʈ-imaːn,get_into-prs.3sg,get_into,"prs, 3sg",
18338,buwa,be.pst.3m.sg,be,"pst, 3m, sg",
18339,tʰi-ba,be-fut.3sg,be,"fut, 3sg",
18340,ta-i,see-cv,see,cv,cv
18341,ɖe-ok,run_away-pst.1pl,run_away,"pst, 1pl",
18342,bua,be.pst.3m.sg,be,"pst, 3m, sg",
