text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20230519-GroupConversationBetweenSharifUllahBahramKhanSharhussanAndImtiazAhmad;197;yes;intizaːr;n;intizaːr;waiting;Ar;keok;ke-ok;do-pst.1pl;rahim ʥ-a rai am tāː ki sax ɖal intizaːr ke-ok jaːr;Rahim come-imp.sg we you.sg.dat to difficult big waiting do-pst.1pl friend;hey Rahim come dear, we waited too much for you;10;;;;;;;;;;;;
20220701-AbulHassanNahairSafai;43;yes;nazar;n;nazar;watching;?;ketijau;ke-tijau;do;kara bi tʰanet ba sijaːsatdaːn asãː ki jafala nazar ke-tijau;who add be.prs.3pl irr politicians prox.dat.sg to some watching do;Whatever it is, politicians should keep an eye on these.;19;;;;;;;;;;;;
20220417-RahimUllahZamidari;19;yes;aːu;nm;aːu;water;;kei;ke-i;do-cv;giri musalasal asa hamiɕa aːu ke-i giri woj ʂaːli bi kuɽa b-imaːn;then prox.obl.sg water do-cv then prox.sg rice add plant be-prs.3sg;Then, by always giving timely water, it becomes a rice paneer;8;;;;;;;;;;;;
20220417-RahimUllahZamidari;18;yes;aːu;nm;aːu;water;;kemet;ke-met;do-prs.3pl;tala-i giri tasa ʈem ʈem-i aːu ke-met aːu ke-i giri tasan-a pat giri asa pek aːu-a ʂuk-an-i ke-i;put-cv then dist.obl.sg time time water do-prs.3pl water do-cv then dist.gen.sg-m after then prox.obl.sg a.little water-obl dry-gen-f do-cv;Then that paddy is put in this field and watered in time for rice cultivation;8;;;;;;;;;;;;
20221030-MuhibUllahAboutFarming;15;no;paidaː;adj;paidaː;appeared;Per;kerus;ker-us;do-pst.3sg;nun sobaːra allahpaːk-e law aːsaːniãː paidaː ker-us parz-os-aː;today nowadays God-clean-erg/ins very appeared do-pst.3sg understand-pst.2sg-q;None;;;;;;;;;;;;;
20221030-MuhibUllahAboutFarming;20;no;paidaː;adj;paidaː;appeared;Per;keus;ke-us;do-pst.3sg;au allah paːk-e nun amãː ki law aːsaːni paidaː ke-us;and God clean-erg/ins today we.dat to very ease appeared do-pst.3sg;This has been made easy by the grace of Allah;;;;;;;;;;;;;
20220417-RahimUllahZamidari;18;yes;aːu;nm;aːu;water;;kei;ke-i;do-cv;tala-i giri tasa ʈem ʈem-i aːu ke-met aːu ke-i giri tasan-a pat giri asa pek aːu-a ʂuk-an-i ke-i;put-cv then dist.obl.sg time time water do-prs.3pl water do-cv then dist.gen.sg-m after then prox.obl.sg a.little water-obl dry-gen-f do-cv;Then that paddy is put in this field and watered in time for rice cultivation;8;;;;;;;;;;;;
20220424-RahmatGhaniBabaKiSabziyat;47;yes;aːu;nm;aːu;water;;kera;ker-a;do-imp.sg;aːu-an-a tareqa-e ʈemʈem-a luʂua ba aːu ker-a;water-gen-obl way-erg/ins time-time-obl water do-imp.sg;Timely watering is required;8;;;;;;;;;;;;
20220417-RahimUllahZamidari;21;yes;hiraːji;n;hiraːji;watering;;kei;ke-i;do-cv;biu b-imaːn biu bi ki ʈem-a ʨi asan-i uʂʈak-an-i ʈem bui ba asa giri kʰaː-i parz-os-aː hiraːji ke-i iʂʈaːu ke-met;paneeri be-prs.3sg paneeri add what time-obl that prox.gen.sg-f gen-f time be.pst.3f.sg irr prox.obl.sg then take.out-cv understand-pst.2sg-q watering do-cv do-prs.3pl;When it is ready for cultivation or growing, it is removed from here and grown in other fields.;8;;;;;;;;;;;;
20230624-AgricultureActivity;50;yes;hiraːji;n;hiraːji;watering;;ket;ke-t;do-pst.3pl;gaː-naːm ʥo du hiraːji ke-t;bull-pl two watering do-pst.3pl;the bulls plough twice;8;;;;;;;;;;;;
