text_title;sentence_number;include;preceding_word;preceding_word_pos;preceding_word_morph;preceding_word_gls;borrowing;verb;verb_morph;verb_gls;sentence;sentence_gls;sentence_trsl;semantic_field;;;;;;;;;;;;
20211010-AfsarBusinessStory;99;no;ʈem;nf;ʈem;time;;ɬitu;ɬ-itu;give-prf.2sg;law mehrabaːni amaː̄ ki ʈem ɬ-itu;very thanks we.dat to time give-prf.2sg;Thaks a lot for your precious time.;;;;;;;;;;;;;
20211010-AslamJanStory;50;no;rupainaːm;n;rupai-naːm;rupee-pl;;ɬi;ɬi;give.cv;har jak-ia du du lak rupai-naːm ɬi au;every one two two lakh rupee-pl give.cv and;everyone got two hundred thousand rupees;;;;;;;;;;;;;
20211010-AslamJanStory;51;no;rupai;n;rupai;rupee;;ɬiton;ɬ-iton;give-prf.3pl;karik-a du lak rupai ɬ-iton;which-obl two lakh rupee give-prf.3pl;someone got two lac and;;;;;;;;;;;;;
20211010-AslamJanStory;52;no;rupai;n;rupai;rupee;;ɬiton;ɬ-iton;give-prf.3pl;du zan-a du nim lak rupai ɬ-iton;two person-obl two half lakh rupee give-prf.3pl;some have got two hundred and fifty thousands;;;;;;;;;;;;;
20220424-RahmatGhaniBabaKiSabziyat;62;no;paːʂ;nf;paːʂ;dung;;ɬesa;ɬ-esa;give-fut.2sg;au tasa kʰaːnʦ-i paːʂ ɬ-esa uzel-i paːʂ ɬ-esa se taːnai baj b-imaːn;and dist.obl.sg black-f dung give-fut.2sg white-f dung give-fut.2sg dist.sg self good be-prs.3sg;Mixing it with white Urea, gives a bumper crop.;;;;;;;;;;;;;
20211003-SadatLifeStory;86;yes;miʂʈi;nf;miʂʈi;bread;;ɬimaːniu;ɬ-imaːniu;give-prs.2pl;me miʂʈi ɬ-imaːniu;you.pl bread give-prs.2pl;they say that we are feeling the millitants;5;;;;;;;;;;;;
20220718-QaderAndBabarConversation;26;no;aːu;nm;aːu;water;;ɬitus;ɬ-itus;give-prf.3sg;ɖaɖal ɖaɖal bum ɬ-itus ʂobaːn-a aːu ɬ-itus tasan-a baːwuʥud ama taraqi kiãː na ke-mek;big big earth give-prf.3sg beautiful-m water give-prf.3sg dist.gen.sg-m reason we development why not do-prs.1pl;There are agricultural lands, there is plenty of water, but why are we not able to develop?;;;;;;;;;;;;;
20221030-HizbullahTellingAboutAGame;150;no;ʨaɣ;n;ʨaɣ;shout;;ɬimaːn;ɬ-imaːn;give-ptcp.ipf;woj zaːtak-a gam bi ʂa-maːn law baŋgara-maːn ʥa-i ʨaɣ ɬ-imaːn;prox.sg young.people-obl beating add send-prs.3sg very prs.3sg say-cv shout give-ptcp.ipf;It also knocks down and injures boys;;;;;;;;;;;;;
20211031-AlifIntrwLiteracy;112;no;ʈem;nf;ʈem;time;;ɬitus;ɬ-itus;give-prf.3sg;mon-i taːnai bi ɕauq tʰini kine allah e kine ʈem ɬ-itus ba mo;my-f self add interest be.prs.3f.sg if(?) God erg/ins if(?) time give-prf.3sg irr I.obl;I am also interested if Allah gives me time;;;;;;;;;;;;;
20211031-AlifIntrwLiteracy;121;no;ʈem;nf;ʈem;time;;ɬitu;ɬ-itu;give-prf.2sg;law mehrabaːni amaː ki ʈem ɬ-itu;very thanks we.dat to time give-prf.2sg;Thanks a lot for your time.;;;;;;;;;;;;;
20220406-AtiqWorkingAtGarden;14;yes;safaːi;adj;safaː-i;clean;Ar;ɬimet;ɬ-imet;give-prs.3pl;ʂobaːn-a ke giri asan-a baːd palaːn-a gila ke-met safaː-i ɬ-imet gaːns maːns-a manz-an-a baka-met;beautiful-m do.cv then prox.gen.sg-m after onion-obl thing do-prs.3pl clean give-prs.3pl grass m-redupl-obl inside-gen-m throw.away-prs.3pl;They take good care of it and throw away the grass when it comes out.;8;;;;;;;;;;;;
20221101-MuhammadShahMechanic;9;yes;ʥawaːb;n;ʥawaːb;question;;ɬiba;ɬ-iba;give-fut.3sg;ja kata sawaːl-aːt ker-ika woj tasan-i ʥawaːb ɬ-iba;indf a.few question-pl do-fut.1pl prox.sg dist.gen.sg-f question(?) give-fut.3sg;He will respond to some of the questions.;18;;;;;;;;;;;;
20230327-MuhammadAliShahTalkingAboutLemonGarden;110;no;iɕaːra;n;iɕaːr-a;signal-obl;;ɬitu;ɬ-itu;give-prf.2sg;maːɖran qism -an-i baːɣ ʥa-i ɕiki ʐup-au ʥa-i iɕaːr-a ɬ-itu;modern kind gen-f garden say-cv so become-opt say-cv signal-obl give-prf.2sg;you pointed towards modern garden;;;;;;;;;;;;;
20230409-GulMuhammadTalkingAboutMeyaMosque;130;no;taufeq;n;taufeq;agreement;;ɬijau;ɬ-ijau;give-opt;au inɕaːllah xudaːi tamaːm musulmaːn-aːn -ãː amãː ki ki naːm taufeq ɬ-ijau;and inshallah God all Muslims-pl dat we.dat to what name agreement give-opt;May Allah give us all the muslims the oppertunity;;;;;;;;;;;;;
20230507-ConversationBetweenTwoStudentEmanAndAfradKhan;148;no;ummur;n;ummur;age;;ɬijau;ɬ-ijau;give-opt;ummur ɬ-ijau;age give-opt;may long live;;;;;;;;;;;;;
20211107-GulFishingTripStory;48;no;insaːf;n;insaːf;justice;;ɬijau;ɬ-ijau;give-opt;ae ʈekura asa ta maʦoʈa-a tu ɕike-mes xudaːi to insaːf ɬ-ijau;hey boy prox.obl.sg fish-obl you.sg how-prs.2sg God you.sg.obl justice give-opt;Boy, what are you going to do with so many fish? May God give you justice;;;;;;;;;;;;;
20211107-GulFishingTripStory;57;no;bata;n;bat-a;rice-obl;;ɬi;ɬi;give.cv;bat-a ɬi au aː bi xer mamat-aː ʨuruta ki ʐu-a;rice-obl give.cv and I dat eat-imp.sg;Eat the rice with delicious taste;;;;;;;;;;;;;
20211107-GulFishingTripStory;77;no;rupai;n;rupai;rupee;;ɬiton;ɬ-iton;give-prf.3pl;amaː ki ʂo ʂo sau-a rupai ɬ-iton;we.dat to six six hundred-obl rupee give-prf.3pl;We got six hundred rupees as a wage;;;;;;;;;;;;;
20211107-GulLifeStory;20;no;allah;n;allah;God;;ɬimaːn;ɬ-imaːn;give-prs.3sg;ki ɬɪ-maːn xo allah ɬ-imaːn;what give-prs.3sg God give-prs.3sg;God gives what He gives;;;;;;;;;;;;;
20211107-GulLifeStory;60;no;gom;nm;gom;wheat;;ɬitu;ɬ-itu;give-prf.2sg;nu tinena ja man gom gulzarin-ãː muj ʥa-um ʨi jara maː ki ja man gom ɬ-itu ba;so from.there indf wheat Gul-Zarin-dat I.erg say-pst.1sg that I.dat to indf wheat give-prf.2sg irr;So from there I told a man of wheat Gul Zarin that he had given it to me;;;;;;;;;;;;;
20211107-GulLifeStory;61;no;rupai;n;rupai;rupee;;ɬitu;ɬ-itu;give-prf.2sg;mo ʦurɕi rupai ɬ-itu ba to ja man gom ɬema;I.obl four-what rupee give-prf.2sg irr you.sg.obl indf wheat give.fut.1sg;So he told me that if you give me the eighty Pakistani rupees then I will give you 50 kilos of wheat;;;;;;;;;;;;;
20211107-GulLifeStory;61;no;gom;nm;gom;wheat;;ɬema;ɬema;give.fut.1sg;mo ʦurɕi rupai ɬ-itu ba to ja man gom ɬema;I.obl four-what rupee give-prf.2sg irr you.sg.obl indf wheat give.fut.1sg;So he told me that if you give me the eighty Pakistani rupees then I will give you 50 kilos of wheat;;;;;;;;;;;;;
20211107-GulLifeStory;62;no;gom;nm;gom;wheat;;ɬa;ɬ-a;give-imp.sg;muj ʥa-um e maːnuʂ-a ʦurɕi rupai gaː-a xo mo gom ɬ-a;I.erg say-pst.1sg oh man-obl four rupee take-imp.sg but I.obl wheat give-imp.sg;I said take the eight rupees and give me wheat;;;;;;;;;;;;;
20211107-GulLifeStory;74;no;taːqaːt;n;taːqaːt;strength;;ɬidaːus;ɬ-idaːus;give-dist.pst.3sg;nu allah taalaː e mo law ɖal taːqaːt ɬ-idaːus;so God almighty erg/ins I.obl very big strength give-dist.pst.3sg;So Allah Almighty had given me great strength in that time;;;;;;;;;;;;;
20211107-GulLifeStory;75;no;taːqaːt;n;taːqaːt;strength;;ɬidaːus;ɬ-idaːus;give-dist.pst.3sg;taːqaːt ɬ-idaːus ʥo maː ki ʥa-won ʨi;strength give-dist.pst.3sg I.dat to say-pst.3pl that;People saw my strength and told me;;;;;;;;;;;;;
20211107-GulLifeStory;87;no;paisaː;nm;paisa-a;money-obl;;ɬema;ɬema;give.fut.1sg;tine ʥ-i maː ʥa-us ʨi ʥa te to paisa-a ɬema;there come-cv I.dat say-pst.3sg that say dist.obl.sg you.sg.obl money-obl give.fut.1sg;"Then he said, ""Let me give you your money.""";;;;;;;;;;;;;
20211107-GulLifeStory;117;no;wagila;nm;wagila;thing;;ɬito;ɬ-ito;give-prf.2pl;ʨi me ʥ-i mo ata wagila ɬ-ito ʨe;that you.pl come-cv I.obl here thing give-prf.2pl that;You people gave me respect.;;;;;;;;;;;;;
20230507-ConversationBetweenTwoStudentEmanAndAfradKhan;149;no;ummur;n;ummur;age;;ɬijau;ɬ-ijau;give-opt;ummur ɬ-ijau;age give-opt;may long live;;;;;;;;;;;;;
20211114-AhmadDrivingStory;238;no;waxt;nf;waxt;time;;ɬitu;ɬ-itu;give-prf.2sg;inɕaːllah ʥiɬi waxt-a giri ama siaːsat-a ki to pena inʈavi go-ika nori waxt ɬ-itu law ɕukriaː;inshallah time-obl then we politics-obl you.sg.obl from interview take-fut.1pl now time give-prf.2sg many thanks;Inshallah we will talk about politics in the future. Thank you for your time.;;;;;;;;;;;;;
20230521-GirlsDiscussionAboutGeneralChatting;225;no;naːmnaːm;nm;naːm-naːm;name-pl;;ɬimaːniu;ɬ-imaːniu;give-prs.2pl;bak-kaː maːʂai me ki ɣalat naːm-naːm ɬ-imaːniu;side aunt you.pl what wrong name-pl give-prs.2pl;get aside aunty, you people say false names;;;;;;;;;;;;;
20220101-HajiLiteratureIntrw;145;no;ʈem;nf;ʈem;time;;ɬitu;ɬ-itu;give-prf.2sg;law mehrabaːni tuĩ amãːki ʈem ɬ-itu law ɕukriaː;very thanks you.sg.erg to time give-prf.2sg many thanks;Thank you for your time.;;;;;;;;;;;;;
20230521-GirlsDiscussionAboutGeneralChatting;226;no;naːm;nm;naːm;name;;ɬɪmaːntiu;ɬ-ɪmaːntiu;give-debit.2pl;aa sahi naːm ɬ-ɪmaːntiu;right name give-debit.2pl;say the correct names;;;;;;;;;;;;;
20230624-AgricultureActivity;120;no;kam;adj;kam;little;;ɬijana;ɬ-ijana;give-nonfin.debit;ʥuwaːr -a pena asa ʈem aːuː kam ɬ-ijana tʰina;corn obl from prox.obl.sg time water little give-nonfin.debit be.prs.3m.sg;It has to be watered a little from maize;;;;;;;;;;;;;
